content,author
" In a pre-dawn swoop, the CBI on Thursday raided residences and an office of some individuals linked to senior Congress leader DK Shivakumar at five places in Bengaluru, Kanakapura and Ramanagara on charges of illegally exchanging demonetised currency notes. The raids took a political hue with Shivakumar, an MLA, and his MP brother DK Suresh calling it a ""vindictive act"" by the BJP-led government at the Centre to frame them. The CBI said the raids were carried out on charges that Corporation Bank chief manager B Prakash at Ramanagara, in connivance with 'unknown others', had illegally exchanged Rs 10 lakh of scrapped currency notices with new ones on 14 November, 2016. Prakash and others are also accused of trying to cover up this act by fabricating requisition slips. ""Searches are being conducted at five places in Bengaluru, Kanakapura and Ramanagara which includes Election Cell, Kanakapura and an office at Ramanagara and three residences of the election cell in-charge Shivananda, election cell clerk Nanjappa and one Padmanabaiah. ""Padmanabaiah had allegedly exchanged the SBN notes in the bank,"" said a CBI press release. The investigating agency stated that a case against Prakash and some officials of Corporation Bank and others was registered on 7 April, 2017. Suresh said search warrants were issued by a special CBI court against 11 people, including him, but expressed ignorance about the charges. He alleged that the Central government was targeting him and his brother Shivakumar. ""Main targets are me and my brother DKS and nobody else. By targeting others, they are trying to reach us. I have no idea who these 11 people are,"" said Suresh. He said he was ready for legal recourse against the ""vindictive action"". ""We have been targeted by BJP, Amit Shah and Narendra Modi. They have given a clear instruction to the government of India officials, like CBI, IT and ED. Some sources told us that they all had a meeting three-four weeks ago. Through some messengers we got the information,"" he said. Shivakumar, who was instrumental in keeping the Congress MLAs together at a resort in the recent political drama in Karnataka against alleged poaching bid by the BJP to muster numbers, said he won't succumb to any pressure. ""If somebody thinks that they can force me and my family to bend before them by threatening us, we are not the ones who will succumb to their pressure. We are ready for any challenge. We had an inkling about these problems,"" said Shivakumar. ""Officials under the BJP rule should not forget this phase is not going to be permanent and nobody is immortal. Neither is anybody going to remain in power forever, nor your powers will be permanent. You have been given powers for a while. So do not act as a puppet in somebody's hand to trouble others,"" said Shivakumar. Meanwhile, former chief minister Siddaramaiah condemned the CBI raids, alleging that the Centre had been targeting Congress leaders but it will not succeed.",PTI
" Election authorities in poll-bound Meghalaya seized over Rs 38 lakh in cash from East Khasi Hills district on Monday, just a day of the polling for the state Assembly. The seizure was made from the Lad Smit area and follows the seizure of Rs 12 lakh in Ri-Bhoi district on Sunday. “The static surveillance team has seized Rs 38.67 lakh from one person under Madanrting police station limits on Monday,” chief electoral officer F R Kharkongor told  . The seizure was made from a coal trader and a resident of West Jaintia Hills district who was travelling on a brand new SUV. The cash was handed over to concerned authorities and investigation is on to find out the source and destination, an election official who was involved in monitoring movements, said. Till date, over Rs 70 lakh has been seized from several persons in the state which is going to poll on Tuesday.",PTI
"Hitting back at the Trinamool Congress over its chief Mamata Banerjee’s attempts to “spread misinformation” after the release of the contentious final draft of the National Register of Citizens (NRC) in Assam, the BJP on Monday said that there should be a similar effort to ""identify illegal migrants from Bangladesh in West Bengal."" The saffron party claimed that their ""number could run into crores"", according to media reports. According to a report in  , Kailash Vijayvargiya, BJP general secretary in charge of West Bengal, said: ""The youth in West Bengal want to identify the illegal migrants from Bangladesh as they are facing several problems like unemployment and law and order issues. The BJP supports their demand."" ""If the final draft (of the National Register of Citizens) in Assam found 40 lakh illegal residents, the number could run into crores in West Bengal. In Assam, the Supreme Court has monitored it. This can be done in West Bengal too,"" he added. West Bengal BJP president Dilip Ghosh reiterated Vijayvargiya’s stance. According to  , he said that a similar list for Bengal will be published should the saffron party come to power in the state.  quoted Ghosh   for ""shedding crocodile tears"" over the draft NRC’s publication. ""If we (BJP) are voted to power in Bengal, then we too will implement the NRC in the state. We will send back the illegal immigrants to Bangladesh. Tough days are ahead, we will not tolerate any illegal immigrants in Bengal,"" Ghosh reportedly said. He further added that those who will support the illegal immigrants ""would also be thrown out of the country."" On Monday, the Trinamool Congress and other Opposition parties had staged a protest against the exclusion of 40 lakh people from the final NRC draft in Assam. Addressing the media after the draft was released on Monday, Banerjee claimed that Bengalis and Biharis living in Assam  , and said that they are ""Indians, not Rohingya"". ""How can they send women and children to detention centres? Aren't people from Uttar Pradesh, Bihar and other states living in Bengal? Bengalis living in Assam are being targetted. They are not Rohingyas, they are Indians,"" she said. ""There were people who have Aadhaar cards and passports but still their names are not in the draft list. Names of people were removed on the basis of surnames also. Is the government trying to do forceful eviction?"" she asked, as per  . Terming the move as a deliberate attempt to isolate Bengalis and Biharis, Banerjee said: ""People are being isolated through a game plan. We are worried because people are being made refugees in their own country. It is a plan to throw out Bengali speaking people and Biharis. Consequences will be felt in our state also,"" she said.",FP Staff
"In a rare pre-dawn hearing, the   Karnataka Bharatiya Janata Party (BJP) leader BS Yeddyurappa's swearing-in on Thursday, but will hear the case again on Friday. The apex court also asked that the letter given by Yeddyurappa and senior BJP leaders to  in which it was declared that the party has the requisite number of MLAs to form the government be produced before the court. Following the Supreme Court's order, BS Yeddyurappa took oath as chief minister of Karnataka on Thursday amid loud cheers. In a late-ditch attempt to stall the BJP surge in the southern state, the Congress had, late on Wednesday, moved the apex court seeking a late-night hearing of its petition challenging the Karnataka governor's decision to administer oath to Yeddyurappa on Thursday. Earlier, the party had also termed the governor's decision to invite the saffron party to form the government in the state as “ ”.    as the chief minister and urged people to maintain faith in the BJP. He said, ""I have been sworn in as the Chief Minister of Karnataka in the name of farmers. This is because you trusted and trusted us. It is our responsibility to make sure that the state wants to move on the progress path. Be with us as usual. Let's make your dreams come true. Thank you."" Ahead of Yeddyurappa's swearing-in ceremony, Rahul Gandhi termed BJP's ""irrational insistence"" that it will form the government in Karnataka as a ""mockery"" of the Constitution. ' The BJP national president responded to Rahul Gandhi's attack against the party claiming that the 'murder of democracy' occurred the minute a ""desperate Congress made an opportunist offer to the JD(S)"". Senior Congress leader launched a sharp attack on the BJP, saying that the party was ""killing democracy for a brazen pursuit of power"".   Discussing the Supreme Court's decision,   president of the Mumbai Congress Committee, claimed that the Supreme Court's decision was exactly what the BJP wanted. He added that it would be difficult to predict whether justice would prevail on Friday. He further stated that when constitutional institutions become ""enslaved to power"", the rulers become the sole authority.   Senior advocate Abhishek Manu Singhvi, who represented the Congress-JD(S) combine in the Supreme Court, noted that in a sense, Yeddyurappa's oath was provisional and the apex court could change its interim order on Friday after reviewing the documents.  , senior advocate Mukul Rohatgi, who represented three BJP MLAs Govind M Karjol, CM Udasi and Basavaraj Bommai in the apex court, said, ""There was no urgency according to me. The matter need not have been listed at night. The Supreme Court has the power to undo if any wrong is done. Last night we didn't have all the papers, except the petition."" Following the apex court's ruling, the senior Congress leader lauded the Supreme Court and claimed that Yeddyurappa's letter to the governor would ""seal his fate"". The BJP's Karnataka unit tweeted that ""while we will start a golden chapter in the history of Karnataka, the people of India, like the Supreme Court, will reject Congress's mercy petition"". BJP leader Shatrughan Sinha expressed the hope that ultimately justice would prevail in the present situation. In a thinly veiled attack against the party, Sinha also stated that ""What is right for Meghalaya, Manipur and Goa should be right for Karnataka too"". Yashwant Sinha,  , warned that the party would try to ""subvert democracy"" once again if it failed to get majority in the Lok Sabha next year.",FP Staff
"Gujarat chief minister Vijay Rupani on Thursday said the state government will take ""concrete steps"" to change the name of Ahmedabad to ""Karnavati"" after assessing ""legal and all other angles"". His statement comes on the heels of Deputy Chief Minister Nitin Patel saying that the BJP government in Gujarat would be   if it got the required support from people. ""People still have a feeling that Ahmedabad should be renamed as Karnavati. If we get the required support to overcome legal hurdles, we are always ready to change the name of the city,"" Patel had said, adding that they would rechristen Ahmedabad ""whenever the time is appropriate"". The Congress, however, called the promise to rename Ahmedabad just another ""poll gimmick"" by the ruling party. ""For the BJP, issues like the construction of a Ram temple in Ayodhya and renaming Ahmedabad as Karnavati are means to get Hindu votes,"" said Gujarat Congress spokesperson Manish Doshi, ""BJP leaders dump such issues after coming to power. They only cheated Hindus all these years."" The remarks on renaming Ahmedabad come after Uttar Pradesh chief minister Yogi Adityanath announced on Tuesday, a day before Diwali, the state's  . On the day of Diwali, Adityanath also confirmed plans to construct a Ram statue in Ayodhya. This was not the first time the Uttar Pradesh chief minister made such a decision. The move to rename Faizabad district Ayodhya followed the state government's move to rechristen Allahabad ""Prayagraj"" and the iconic Mughalsarai Railway Station Pandit Deendayal Upadhyay Junction.",FP Staff
"A Rajasthan minister, who was dropped by the BJP in its first list of candidates for the assembly election released on Sunday, 11 November, resigned from his post and the party on Monday. Surendra Goyal, the public health engineering and ground water minister who represents the Jaitaran constituency, tendered separate resignations to CM Vasundhara Raje and the party's state president, Madan Lal Saini, reported PTI. The five-time MLA has not sighted any reason for the resignation. In its first list of 131 candidates released on Sunday night, the BJP has fielded a new face, Avinash Gehlot, from Jaitaran. Goyal may now contest the Jaitaran seat in Pali district as an independent,    . Along with Goyal, Tribal Affairs Minister Nandlal Meena could not make it to the first list released on Sunday, PTI reported. However, the party has fielded Meena’s son from his constituency. As per the first list of candidates, Chief Minister Vasundhara Raje will be contesting from the Jhalrapatan constituency, from where she has been a three-time MLA. The developments come just days before Rajasthan goes to polls on 7 December, with the results set to be declared on 11 December. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
"An investigation by   and Brut India has exposed how a potential conflict of interest could have jeopardised the offset contract process for the deal. The findings raise some very serious and urgent questions. Read the full story  . In an overnight drama that unfolded in Chennai's SRM University, nearly a thousand women students marched in protest after a second-year student was sexually harassed in the hostel lift by a male worker. Officials, instead of taking action, blamed the women for their clothes and called the matter a ""small incident."" Refusing to budge, the students broke the hostel gates and took to the streets in angry protests. Arjun, the man who had started masturbating in front of the student, was finally arrested today morning. Read the full story  . Terror attacks rocked different parts of Pakistan today. In Karachi, a separatist group from Balochistan claimed responsibility for gunning down two policemen near the Chinese consulate. Read the full story  . Another powerful bomb blast ripped through a busy market in Pakistan's Khyber Pakhtunkhwa province killing at least 25 people and injuring over 35 others. Read the full story  . Meanwhile in India, six militants were gunned down in an early morning encounter in Jammu and Kashmir’s Anantnag today. Among the dead militants was Azad Malik , one of the accused in journalist Shujaat Bukhari’s murder, police said. Read the full story  . The big Assembly elections in Madhya Pradesh, Mizoram, Rajasthan and Telangana are only days away. And as we begin the countdown to know who wins the throne in each of these states, stay with   for ground reports, live coverage, explainers and all the other updates. In Mizoram, we met this football club owner who is now gunning to be a MLA. Read the full story  . In Madhya Pradesh's Mandsaur where six farmers were gunned down during a protest last year,   our ground report on why the angry farmers could jolt the BJP's plan of coming back to power. The run is over, the dream is gone. India crashed out of the ICC Women’s World T20 2018 after a comprehensive defeat to England at Antigua. The   between the sides – a seismic final to the 2017 World Cup at Lord’s – had ended in India falling excruciatingly short in their bid for a maiden global title in women’s cricket. This time around, the margin was far greater – England won by 8 wickets, with 17 balls to spare. Read the full story  . (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
" Punjab chief minister Amarinder Singh on Thursday slammed Karnataka governor Vajubhai Vala for subverting the Constitution by inviting the BJP to form the government in the southern state. Labelling Vala an RSS Governor, the chief minister said democratic polity of India had been massacred to serve the desire and will of Vala's political masters in the Bharatiya Janata Party (BJP). ""It was shocking the way the governor had given time to the BJP to break the Opposition and resort to horsetrading. (But) What else do you expect from an RSS governor,"" he told the media. He described the entire episode as ""unfortunate"", and said the developments in the last 24 hours were extremely dangerous for the country. ""We do not want India to become like Pakistan, where democracy is subverted by dictators and the army every step of the way,"" he said. Citing the examples of Goa and Manipur where governments were formed by majority post-poll alliances due to hung verdicts, Singh said the entire nation wanted an answer from the Karnataka governor. The governor should have called the parties with majority support to form the government and take the floor test immediately, instead of handing over the mantle to the minority party and giving them 15 days to make and break permutations and combinations through horsetrading, he added. The chief minister expressed hope that the Supreme Court would uphold the Constitutional principles and save the country's democratic structure from being crushed by fissiparous forces. Earlier, in a strongly-worded tweet, the chief minister wrote: ""Democracy has been brazenly manipulated, mutilated and massacred in Karnataka. It does not augur well for the future of India. All eyes are now on the Supreme Court to come out in protection of the Constitutional ethos on which the very foundation of our nation rests."" Governor Vala invited the BJP, who managed to win 104 of the 222 seats in the Karnataka Assembly polls, to form the government despite the party falling short of the magic figure of 112. BJP legislature party leader BS Yeddyurappa was sworn in as the chief minister, after an overnight high-voltage legal battle in the Supreme Court. The Governor has given him 15 days to prove his majority in the Assembly. The Congress and JD(S), which have announced a post-poll tie-up, have won 78 and 37 seats respectively, comfortably crossing the halfway mark.",PTI
"Union minister Pon Radhakrishnan mocked the   specifying the time during which people in Tamil Nadu can burst firecrackers during Diwali. Radhakrishnan said that it is largely children who burst crackers and wondered if the law would be unleashed against them.   quoted him as saying, ""Will they (authorities) station a police personnel at each house or will they deploy a police team at each and every street?"" The apex court modified its earlier order of fixing an 8 to 10 pm slot for bursting crackers on Diwali, saying the time would be changed in southern states like Tamil Nadu and Puducherry, but not exceed the two-hour duration. Diwali falls on 6 November in Tamil Nadu. The Tamil Nadu government Friday said people would be allowed to burst firecrackers between 6 am and 7 am and 7 pm and 8 pm on Diwali, in line with the Supreme Court directive.",FP Staff
" The Supreme Court on Friday said the Unique Identification Authority of India’s proposal to hire a social media agency to monitor social media platforms was contrary to its earlier submissions. The UIDAI is the government agency which runs the Aadhaar scheme, A bench comprising Chief Justice Dipak Misra and Justices A.M. Khanwilkar and D.Y. Chandrachud also asked attorney general K.K. Venugopal to assist it in the hearing of the plea on the issue filed by Mohua Moitra, an MLA of the Trinamool Congress. “It (monitoring) is directly against the submissions made by the UIDAI during the hearing of the Aadhaar matters,” the bench said, adding that what the UIDAI was proposing was contrary to “what it had argued while seeking validity of Aadhaar”. The UIDAI, during the hearing of a clutch of petitions challenging the validity of the Aadhaar scheme, had told the apex court that it did not want to monitor the online activities of citizens holding Aadhaar cards. Moitra’s plea said the UIDAI, as per its bid document, was seeking to hire a social media agency that will employ ‘online reputation management’ and ‘social listening’ tools to monitor and influence conversations related to Aadhaar on platforms like Facebook and Twitter. She had alleged that the move of hiring a social media monitoring agency was aimed at “mounting surveillance on social media platforms”. “Such action of the government violates her right of privacy. The scope of work of the Social Media Agency intended to be selected through the impugned request for proposal (RFP) is in the teeth of the judgment laid down by this Court in K S Puttaswamy case, wherein a bench of nine judges of this court recognised privacy as a fundamental right under the Constitution,” the plea said. The petition claimed that the aim of employment of a “Social Listening Tool” by the social media agency of the UIDAI in accordance with the RFP on the pretext of raising awareness about Aadhaar is nothing but an attempt to “overreach the jurisdiction” of the apex court. “Despite the fact that the constitutional validity of various aspects of Aadhaar is under challenge before this court in a batch of petitions and judgment has been reserved by a constitution bench of this court in the matter, the respondents (Centre, UIDAI) have issued the RFP to identify ‘top detractors’ and ‘neutralise negative sentiments’ in relation to Aadhaar. It is therefore clear that the respondents have no respect or regard for proceedings before this court,” the petition said. The legislator alleged that the haste with which the RFP was being pushed through with the bids scheduled to be opened less than two weeks after the publication of the RFP itself demonstrated the mala fides of the Centre and the UIDAI. The plea said that weekly and monthly reports are to be prepared by the social media agency, indicating the most discussed topics, top detractors, top influencers and the net sentiment related to Aadhaar. “The entire surveillance architecture is to be placed in the hands of private persons employed on a contract basis who will be on the rolls of the service provider who emerges successful in the tender process. “While surveillance by agents of the state is itself violative of the right to privacy, in this case, the privacy of the citizens of this country is sought to be placed at the mercy of non-state actors which reeks of manifest arbitrariness,” the plea alleged. Earlier, the Centre had told the apex court that it will undertake a complete review of social media policy and withdraw its notification proposing a social media hub for the information and broadcasting (I&B) ministry. The decision had then led to the disposal of an earlier plea against the hub filed by Moitra against the notification of the I&B Ministry.",PTI
"The Bharatiya Janata Party touches just enough number of seats to form majority in Madhya Pradesh, said ABP’s opinion poll, made in collaboration with Centre for the Study of Developing Societies (CSDS), on Thursday, 8 November. According to the poll, the BJP stands at 41 percent, one percent more than 40 percent vote share of the Congress, leaving Others with 19 percent.. The state with 230 seats goes for voting on Wednesday, 28 November, out of which the BJP stands at 116 seats, the Congress at 105 and Others round up at nine. By this calculation, the BJP faces a drop of 49 seats from the 2013 Assembly elections where it secured 165 seats. Madhya Pradesh has three key contenders in the upcoming election, current Chief Minisrter Shivraj Singh Chauhan (BJP) from Budhni, the Congress’ Kamal Nath from Chhindwara and Jyotiraditya Madhavrao Scindia from Guna. Although the BJP still stands first in the ABP-CSDS survey, a noticeable decline in its vote share and seat share is reflected in the survey numbers. The Congress party’s poll performance, though better from the last Assembly elections where it was at 36.38 percent and was able to secure only 58 seats, it still failed to gather majority in the survey. However, the BJP's vote share is expected to increase after Prime Minister Modi's campaign visit in the state which is supposed to take place after 15 November. It will be the BJP’s fourth consecutive win in the state if the party manages to form a majority, but the party has been struggling with the issue of anti incumbency evident to the voters. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
": Punjab chief minister Amarinder Singh expressed confidence that all ""like-minded parties"" in the Opposition which have the best interest of the nation at heart will support Congress chief Rahul Gandhi as the leader of an united alliance against the BJP-led NDA in the 2019 Lok Sabha polls. Singh also said the Congress party, under the leadership of Rahul, will return to power in 2019 as the people are ""completely disillusioned"" with the BJP and want a ""positive change"". Singh, who is in Israel on a five-day visit, said India needed a young and dynamic leader to bring it out of the current mess and put it back on the global map. ""Rahul has all the qualities needed to be a great prime minister and he is the perfect man to lead the country, as I have always maintained,"" Singh told   in an interview when asked if he really feels Rahul is the right man for the job of running the country. Singh is heading a high-level delegation to Israel to strengthen Punjab's cooperation with it in the fields of agriculture, horticulture, dairy farming and waste water management, besides trying to attract investments in the state. Singh said the people are tired of ""misgovernance"" by the BJP.  ""The people are completely disillusioned with the BJP and want a positive change,"" he said.  ""The escalating prices of diesel and petrol, the economic situation faced by the country just see the way the rupee is going viz a viz the dollar, the polarisation triggered by the BJP, the widespread unemployment, the way many of the ministers at the Centre are functioning – the people can see all that, and are sick and tired of it. ""The time is up for the BJP. The Congress, under Rahul, is ready to take the reins of the country and bring it back on the path of progress and prosperity,"" Singh said. He said the entire Congress party is currently in election mode. ""All of us, including me, are ready to put all our might into ensuring that the party wins each one of them,"" he said. When asked whether opposition parties would be able to accept Rahul as the leader of a united alliance against the BJP-led National Democratic Alliance, Singh said all like-minded parties which have the best interests of the nation at heart will embrace him warmly as their leader. ""Other opposition parties know that the Congress is the only party that can lead an effective campaign against the BJP, and they also know that Rahul is more than capable to leading the united opposition. As I have said earlier, it is important to have the right kind of alliances at this juncture if we are to save the nation from the misgovernance of the BJP and its allies,"" he said. 
Singh expressed confidence that the Congress would win each of the states going to polls, referring to the assembly electons in Madhya Pradesh, Rajasthan, Telangana and Mizoram and Chhattisgarh. Asked whether he would form an alliance with Aam Aadmi Party (AAP) in Punjab for the 2019 elections if there is a national alliance of the Congress with them, Singh said the Congress in Punjab will sweep the election on its own and does not need allies. ""We have also conveyed this to the Congress high command. But at the same time, we have told them that the final decision rests with them, which they would need to take keeping all exigencies in mind,"" he said.",Press Trust of India
"Pakistan Prime Minister Shahid Khaqan Abbasi has said that his government will push ahead with plans to seize control of charities run by Hafiz Saeed. India has claimed that Saeed was the mastermind of the 26/11 Mumbai terror attack.  Abbasi made the statement during an interview to   on Monday, days after the United States   its demand to Pakistan to   the Jamaat-ud-Dawa chief. “Yes, the government will take over the charities which are sanctioned and not allowed to operate,” Abbasi said, adding that the military too was on board. “Everybody is on board, everybody is on the same page, everybody is committed to implementation of UN sanctions.” The news agency had last month reported on the government’s directions to federal and provincial departments to implement the sanctions against two charities – the Jamaat-ud-Dawa and the Falah-e-Insaniat Foundation, both of which the US has labelled “terrorist fronts” for the militant group Lashkar-e-Taiba – and financial assets owned by Saeed.  The order came after the Financial Action Task Force, an international organisation that combats money laundering and terrorist financing, warned Islamabad that it faces inclusion on a watch list for failing to crack down on financing terrorism. ",Scroll Staff
"Uttar Pradesh chief minister Yogi Adityanath ridiculed Saturday the Opposition unity efforts ahead of the 2019 Lok Sabha polls, saying non-BJP parties were ganging up to create political instability in the country, a charge refuted by the Congress. ""The Opposition is worried that the BJP is gaining from strength to strength. They are opposed to development and have been ganging up to join hands with the only aim to take on the saffron party,"" the BJP leader said at an event by a media house. The chief minister said the people were hopeful that a grand Ram temple will be built in Ayodhya in the state and ""Lord Ram will decide its date"". Slamming the Opposition parties, the chief minister said, ""Their only aim is to create political instability in the country so that they can fish in troubled waters."" His comments at the  came against the backdrop of efforts to stitch an alliance among the Samajwadi Party, the Bahujan Samaj Party and the Congress in Uttar Pradesh with an eye on the upcoming Lok Sabha polls. ""The Opposition is against development and its only target is to dislodge the BJP from power,"" he said. Adityanath sought to poke fun at the Opposition parties, saying they were not clear as to who will lead the alliance. ""They cannot project any leader who can head the alliance,"" he said. ""A grand Ram temple will be built in Ayodhya. The people are very hopeful.   will decide its date. But, it will be built definitely,"" the saffron-clad chief minister said. The BJP will fight the Lok Sabha polls in 2019 on the plank of development, he said and exuded confidence the party will retain power under the leadership of Prime Minister Narendra Modi. ""The BJP will again come to power at the Centre and under the able leadership of the prime minister, we will put up a grand show in the 2019 Lok Sabha elections,"" Adityanath said. He was responding to a specific question about whether his party would repeat its performance in 2014 when it bagged 73 of the 80 Lok Sabha seats in the state along with its alliance partners. The 46-year-old monk-turned-politician said the party does not believe in playing the caste card for the sake of votes and it will go to the polls on the development plank. ""The BJP does not play the caste card,"" he said. ""We believe in development and welfare of the people without any discrimination,"" he said. On the police encounters in the state, he said that the authorities are trying their best to instil confidence in the minds of the people that lawbreakers would not be allowed to go scot-free. ""At the same time, we have warned the police that there should not be any fake encounters. If they misuse power, action will be taken against them,"" he said. The chief minister, who assumed power last year after his party scored a landslide victory in the 2017 Assembly polls, slammed the previous Samajwadi Party dispensation saying, ""People voted against the SP as they came to realise the misdeeds of the Akhilesh Yadav government."" However, UPCC chief Raj Babbar, who was the next guest at the meet, refuted Adityanath's remarks over his remarks on the Opposition unity. ""The unity among the Opposition parties is to save the country from the BJP's misrule,"" he said. Babbar said that the unity efforts were in the context of Uttar Pradesh, which sends the highest number of 80 members to the Lok Sabha. ""This is Lok Sabha election and national leaders will take a call,"" he said. The actor-turned-politician said the efforts to strike unity among non-BJP parties were not directed against any individual. ""The sole purpose is to save the country from the BJP's misrule,"" he said. To a specific question as to who will head the alliance, Babbar said the issue will crop up at a later stage. ""The issue will be decided at a later stage. It is for the people to decide, the country will decide...,"" he said. ""But, one thing is for certain that if the Congress heads the alliance, it will be our party chief Rahul Gandhi who will head it,"" he added.",Press Trust of India
" CPI leader D Raja on Tuesday termed the political-tactical line of the CPM ""self-contradictory"" and said it was ""impossible"" to maximise rallying anti-BJP votes without any understanding with the largest Opposition party: the Congress. He said it was not possible for left and democratic forces to defeat the BJP all alone, without the Congress. ""The tactical line of the CPM is self-contradictory. If they want to maximise the pooling of anti-BJP votes without any understanding with the Congress, that is not possible. How can they say that they want to defeat the BJP but not have any understanding with the largest opposition party Congress,"" Raja told  . The CPM in its draft political resolution, released on Tuesday, has said that the main task of the party will be to defeat the BJP and its allies by rallying all secular and democratic forces, but it has to be done without having any understanding or political alliance with the Congress party. ""If they can cooperate with the Congress inside and outside Parliament, it means the Left is having an understanding with the Congress against the BJP,"" he said. Raja said that in Gujarat, Rajasthan and Madhya Pradesh, where the Congress is the main force to defeat the BJP, left and other democratic forces will have to have an understanding with the Congress. He also highlighted the fact that in the last assembly election in Bihar, the Left went all alone, but it was the RJD-JD(U)-Congress alliance which defeated the BJP. The Left leader emphasised that the need of the hour is to have a state-specific tactical line and the CPI(M) should understand the political situation in the country. ""That is what we are pointing out. There can be difficulties in some states. But this can be addressed at that point of time keeping in mind the specific political situation prevailing in those states. The CPM should understand that there is need to chalk out state-specific electoral-tactical line,"" Raja said. The CPI leader said that keeping in mind the future of the country, the Left should try to have the broadest possible platform along with all democratic parties at the national level to defeat the BJP. ""We should try to have the broadest possible unity of all left, secular and democratic forces in which obviously there will be a place for the Congress,"" the Rajya Sabha member said.",PTI
"Senior Congress leader Ghulam Nabi Azad on Friday clarified earlier reports that revealed links between him and the Jammu and Kashmir Bar Association President BS Slathia. A report in   had stated that Slathia, who led the 11 April bandh in Jammu and Kashmir in demand for a CBI probe in the Kathua rape, was Azad’s chief election agent in the 2014 elections. A senior Congress leader had told the publication, On Friday, Azad affirmed this report and said that when he was associated with Slathia, the latter had a ’secular’ outlook. While state Congress chief Ghulam Ahmed Mir has officially criticised the protestors as well as Kathua lawyers who impeded the filing of the chargesheet against the accused, several Jammu-based Congress leaders told ThePrint that unless they supported the ‘struggle’, the party faced the prospect of leaving the field open for the BJP. The Print had also reported that though the Jammu and Kashmir Congress chief had publicly condemned the Kathua lawyers for derailing the chargesheet filing process, as well as the other protesters who were siding with the accused, several other Congress leaders from the state said that unless the party came together to protest the horrific rapes, they would end up giving more leeway to BJP. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
" The Bahujan Samaj Party (BSP) will be compelled to go it alone if it does not get a ""respectable"" number of seats in the anti-BJP alliance that is shaping up before the Lok Sabha 2019 polls, former Uttar Pradesh Chief Minister Mayawati said Sunday. The BSP chief also said that instances of mob lynching in the name of cow protection were a ""blot on democracy"" and accused BJP governments in various states of being indifferent to the problem. At a press conference, held for the first time in her new accommodation in Lucknow after she was forced to vacate her sprawling bungalow on Supreme Court orders, Mayawati made clear her party might be compelled to go it alone if it does not get a ""respectable number"" of seats in the anti-BJP alliance. ""Our party is not against the alliance, but our stand is very clear that we will ally with a political party only if we get a respectable share of seats. Otherwise, our party feels it better to contest the elections alone,"" she said. On the Lok Sabha 2019 elections and the upcoming Assembly elections in certain states, Mayawati said, the effort of the Opposition parties will be to stop the BJP from coming to power at any cost. Maywati targeted the BJP claiming that its governments in the Centre and states had ""worsened"" the condition of the people by showing them false dreams.  ""These governments have done no good to people barring a few industrialists,"" she alleged adding that ""both the NDA and the previous UPA governments were equally responsible for shielding the corrupt"". Mayawati also said the ""increasing tendency"" of mobs indulging in lynching in the name of cow protection in the ""BJP-ruled states"" was a blot on democracy. Yet the governments (in these states) are exercising laxity and are being indifferent to it, she claimed. ""These activities of the BJP governments against the Dalits, Tribals, backwards, Muslims and Christians are going on from their inception and are a result of the party's intention to go against the Constitution...This has been part of the basic policy of the BJP, which has assumed alarming proportions after they came to power,"" she alleged. Continuing her attack on the BJP, Mayawati claimed that the party after forming the government was trying to crush the democratic movements and resorting to ""terror tactics"" in this regard. ""After the 2 April 'Bharat Bandh' called by Dalit organisations, atrocities are going on,"" she alleged. Accusing the BJP of resorting to ""diversionary tactics"" as Lok Sabha elections were approaching, Mayawati said the saffron party was not leaving any stone unturned to ""derive advantage from the demise of former Prime Minister Atal Bihari Vajpayee"". ""As the Lok Sabha elections and Assembly elections are approaching in certain states, the BJP is resorting to different tactics to hide its failures and is making lucrative announcements. In this matter, they (BJP) are not leaving any stone unturned to derive advantage from the demise of former Prime Minister Atal Bihari Vajpayee. They never followed his footsteps, when he was alive,"" she alleged. ""If Prime Minister Narendra Modi and BJP followed the footsteps of Vajpayee and ran the government accordingly, there would not have been religious frenzy and communal incidents. Nor there would have been the rule of mobocracy,"" she claimed. ""People know the campaign undertaken by the BJP and RSS in the name of Vajpayee is an attempt to hide failures,"" she said continuing her attack. ""The BJP will not get any benefit from this,"" she added. ""The people of the country now understand that none of the election promises made in Lok Sabha 2014 elections was fulfilled,""  she said. Mayawati also alleged that the Centre was not able to come clean on the Rafale deal. Referring to demonetisation, Mayawati said it was done in an unplanned manner leading to a ""financial emergency"". The BJP government should now at least tender an apology over the ""national tragedy"", she said. On the possibility of misuse of SC/ST Act, Mayawati said, ""The BSP is of the view that if the current state governments follow the 'Sarvajan Hitay, Sarvajan Sukhay' policy of her party, there will be no misuse of this law.""",Press Trust of India
